date, description, maxDrawdown, maxDrawdownDuration, maxProfit, maxProfitDuration, numOfLosses, positionDuration, runningPnL, totalLossPnL, totalTrades, totalWinPnL,numOfWins
4/18/2001,Breakup,-1100,1353,900,246,1,4553,-370.7176,-370.7176,1,0,0
4/19/2001,Breakup,-2550,550,3650,12296,0,14471,2328.3848,0,1,2328.3848,1
4/23/2001,BreakdownCounterTrend,-550,166,2750,1320,0,1605,1478.656,0,1,1478.656,1
4/23/2001,Breakup,-3150,1393,50,0,1,2978,-3021.4192,-3021.4192,1,0,0
4/24/2001,Breakup,-1600,1575,2150,9759,0,14080,578.8192,0,1,578.8192,1
4/26/2001,Breakdown,-2100,2757,750,93,1,10599,-1771.1848,-1771.1848,1,0,0
4/26/2001,Breakup,-850,768,2600,2406,0,3124,2278.744,0,1,2278.744,1
4/27/2001,Breakup,-100,0,11650,691,0,4137,9228.7688,0,1,9228.7688,1
5/2/2001,Breakdown,-1300,12157,2650,727,1,12175,-1171.9992,-1171.9992,1,0,0
5/2/2001,Breakup,-3200,1591,50,3,1,1593,-3121.9936,-3121.9936,1,0,0
5/3/2001,BreakdownCounterTrend,-1250,502,500,238,1,1126,-71.8776,-71.8776,1,0,0
5/4/2001,Breakdown,-100,0,6600,2249,0,3445,4178.5824,0,1,4178.5824,1
5/8/2001,Breakdown,-1550,1035,150,76,1,1048,-1471.556,-1471.556,1,0,0
5/9/2001,Breakdown,-550,1415,1650,793,1,1525,-371.684,-371.684,1,0,0
5/9/2001,Breakup,-2350,1092,0,0,1,1097,-2271.7432,-2271.7432,1,0,0
5/11/2001,Breakup,-2300,1537,550,44,1,1538,-2221.8,-2221.8,1,0,0
5/14/2001,BreakdownCounterTrend,-850,18,1600,325,0,2090,528.828,0,1,528.828,1
5/14/2001,Breakdown,-3200,11752,1050,352,2,12014,-2442.3616,-2442.3616,2,0,0
5/15/2001,BreakdownCounterTrend,-300,70,5500,1643,0,2332,3078.7328,0,1,3078.7328,1
5/15/2001,Breakup,-250,10,5350,1095,0,16969,1978.7328,0,1,1978.7328,1
5/17/2001,Breakup,-2250,963,1100,258,1,1270,-1821.9024,-1821.9024,1,0,0
5/22/2001,Breakdown,-1350,2225,2900,756,1,2309,-622.2224,-622.2224,1,0,0
5/23/2001,Breakdown,-1400,669,0,0,1,719,-1122.1856,-1122.1856,1,0,0
5/24/2001,BreakdownCounterTrend,-3000,258,0,0,1,258,-2771.9448,-2771.9448,1,0,0
5/24/2001,Breakup,-1050,1105,2400,3298,0,4069,2027.996,0,1,2027.996,1
5/25/2001,BreakdownCounterTrend,-1650,613,5950,14197,0,14421,5377.9264,0,1,5377.9264,1
5/25/2001,Breakdown,-2550,761,4600,4313,0,4537,4027.948,0,1,4027.948,1
5/28/2001,BreakdownCounterTrend,-1450,636,600,35,1,672,-1321.9856,-1321.9856,1,0,0
5/28/2001,Breakup,-2900,1898,0,0,2,2001,-2593.9816,-2593.9816,2,0,0
5/29/2001,Breakup,-350,172,2250,3352,0,3353,2328.2584,0,1,2328.2584,1
5/30/2001,Breakdown,-950,11342,4800,811,1,13575,-171.492,-171.492,1,0,0
5/31/2001,Breakdown,-550,3,550,181,0,290,79.0432,0,1,79.0432,1
5/31/2001,Breakup,-2350,3806,4900,591,1,3809,-2270.9992,-2270.9992,1,0,0
6/1/2001,Breakdown,-4100,3474,1150,847,1,10777,-2521.1168,-2521.1168,1,0,0
6/4/2001,Breakdown,-650,944,1900,350,1,1310,-171.1112,-171.1112,1,0,0
6/5/2001,Breakup,-1600,2438,16400,15024,0,15187,15678.5776,0,1,15678.5776,1
6/6/2001,BreakdownCounterTrend,-300,112,400,15,1,120,-271.8488,-271.8488,1,0,0
6/7/2001,BreakdownCounterTrend,-1600,9845,800,437,1,9856,-1521.7248,-1521.7248,1,0,0
6/7/2001,Breakup,-900,110,4450,1606,0,1710,3328.1128,0,1,3328.1128,1
6/8/2001,Breakdown,-3400,2316,4050,2425,1,3531,2105.5832,-1122.2464,2,3227.8296,1
6/8/2001,Breakup,-850,11217,2900,10407,1,12098,-772.2552,-772.2552,1,0,0
6/11/2001,Breakdown,-350,60,5150,1463,0,2478,3128.0696,0,1,3128.0696,1
6/12/2001,Breakdown,-1550,4481,2900,1308,1,4495,-1421.6672,-1421.6672,1,0,0
6/13/2001,BreakdownCounterTrend,-750,2448,2900,532,0,2880,78.2928,0,1,78.2928,1
6/13/2001,Breakup,-2050,11126,800,54,1,11131,-1871.7048,-1871.7048,1,0,0
6/14/2001,Breakdown,-950,830,9200,15595,0,15708,8578.6672,0,1,8578.6672,1
6/15/2001,Breakdown,-2550,3744,900,27,1,3745,-2470.756,-2470.756,1,0,0
6/15/2001,Breakup,-1800,3245,5050,926,0,4529,2779.0784,0,1,2779.0784,1
6/18/2001,Breakdown,-2200,1064,400,18,1,1082,-2120.6736,-2120.6736,1,0,0
6/18/2001,Breakup,-3300,953,400,8,1,990,-2920.8688,-2920.8688,1,0,0
6/19/2001,Breakup,-350,8,4800,608,0,988,3779.0608,0,1,3779.0608,1
6/20/2001,Breakdown,-3500,9312,100,13,2,9357,-2541.5088,-2541.5088,2,0,0
6/20/2001,Breakup,-2450,2301,2500,1758,1,2303,-2370.876,-2370.876,1,0,0
6/21/2001,BreakdownCounterTrend,-2100,2152,700,1641,1,2187,-1871.2232,-1871.2232,1,0,0
6/21/2001,Breakdown,-3850,3790,2550,1681,2,4932,-3442.0912,-3442.0912,2,0,0
6/21/2001,Breakup,-1850,1358,11900,9920,0,12056,9278.952,0,1,9278.952,1
6/22/2001,BreakdownCounterTrend,-2550,10380,1550,975,1,14118,-871.1304,-871.1304,1,0,0
6/22/2001,Breakdown,-1800,915,400,275,1,927,-1871.1144,-1871.1144,1,0,0
6/22/2001,Breakup,-2850,1319,3150,87,1,1324,-2771.1672,-2771.1672,1,0,0
6/26/2001,BreakdownCounterTrend,-250,4,6650,3601,0,3649,5879.2016,0,1,5879.2016,1
6/26/2001,Breakdown,-2000,2385,2300,1015,1,2778,-291.6088,-1020.8928,2,729.284,1
6/26/2001,Breakup,-1800,10313,2800,58,1,10331,-1670.9208,-1670.9208,1,0,0
6/27/2001,Breakdown,-3350,3693,450,1323,1,3694,-3270.7416,-3270.7416,1,0,0
6/27/2001,Breakup,-1550,383,1100,1350,1,1853,-570.8328,-570.8328,1,0,0
6/28/2001,Breakdown,-1650,1272,550,274,1,1277,-1470.5496,-1470.5496,1,0,0
6/29/2001,Breakdown,-2250,11117,3050,664,1,11130,-2170.9128,-2170.9128,1,0,0
7/4/2001,BreakdownCounterTrend,-2800,3589,0,0,1,3591,-2721.0736,-2721.0736,1,0,0
7/4/2001,Breakup,-750,4198,1000,2737,1,12477,-371.0424,-371.0424,1,0,0
7/5/2001,BreakdownCounterTrend,-250,52,8600,1446,0,2627,6029.0536,0,1,6029.0536,1
7/9/2001,Breakup,-1250,485,1400,1006,0,4492,129.7304,0,1,129.7304,1
7/10/2001,Breakdown,-2250,12215,1000,48,1,12220,-2170.2728,-2170.2728,1,0,0
7/10/2001,Breakup,-1650,831,1350,4271,0,4326,929.6808,0,1,929.6808,1
7/11/2001,Breakdown,-2100,1168,3650,348,1,3935,-1190.0792,-1920.0224,2,729.9432,1
7/11/2001,Breakup,-3400,461,1800,641,1,973,-1140.0784,-2170.0072,2,1029.9288,1
7/12/2001,BreakdownCounterTrend,-400,871,50,1072,1,1440,-220.2848,-220.2848,1,0,0
7/13/2001,Breakdown,-350,27,9900,11409,0,13494,7229.7192,0,1,7229.7192,1
7/16/2001,Breakdown,-1250,13413,1850,12599,1,13418,-1170.2104,-1170.2104,1,0,0
7/17/2001,BreakdownCounterTrend,-850,9698,2650,1128,1,14226,-520.0208,-520.0208,1,0,0
7/17/2001,Breakdown,-1750,3779,1350,1595,1,3805,-1570.004,-1570.004,1,0,0
7/17/2001,Breakup,-1350,1018,300,138,1,1077,-1270.0392,-1270.0392,1,0,0
7/18/2001,Breakdown,-1350,1408,1450,764,1,1959,-469.844,-469.844,1,0,0
7/20/2001,BreakdownCounterTrend,-1950,1355,2050,3225,0,4371,1030.3272,0,1,1030.3272,1
7/20/2001,Breakdown,-200,8,1900,725,0,1871,880.3296,0,1,880.3296,1
7/20/2001,Breakup,-3900,12271,900,1820,2,12346,-3389.4312,-3389.4312,2,0,0
7/26/2001,Breakup,-2550,1123,450,32,1,1123,-2219.3904,-2219.3904,1,0,0
7/27/2001,Breakdown,-2350,2403,0,0,1,2470,-2169.3592,-2169.3592,1,0,0
7/27/2001,Breakup,-500,52,1450,848,0,1437,1030.5816,0,1,1030.5816,1
7/30/2001,BreakdownCounterTrend,-1600,13995,1200,11353,1,14303,-1069.2824,-1069.2824,1,0,0
7/31/2001,Breakdown,-700,2970,550,1687,1,3040,-819.6336,-819.6336,1,0,0
8/1/2001,Breakup,-1500,2655,1050,243,1,16153,-169.86,-169.86,1,0,0
8/2/2001,BreakdownCounterTrend,-400,4,1450,253,0,274,930.0568,0,1,930.0568,1
8/2/2001,Breakup,-1900,2066,350,249,1,2069,-1819.9584,-1819.9584,1,0,0
8/3/2001,BreakdownCounterTrend,-150,0,8100,3330,0,3966,7080.2496,0,1,7080.2496,1
8/3/2001,Breakdown,-200,1,2800,360,0,996,1780.3344,0,1,1780.3344,1
8/3/2001,Breakup,-1300,10223,1850,979,1,10329,-1169.8744,-1169.8744,1,0,0
8/6/2001,Breakdown,-1700,1265,100,12,1,1391,-1769.3528,-1769.3528,1,0,0
